SYMBOL,INDUSTRY
HINDWAREAP,"Furnishings, Fixtures & Appliances"
HINDZINC,Other Industrial Metals & Mining
HIRECT,Electrical Equipment & Parts
HISARMETAL,Steel
HITECH,Steel
HITECHCORP,Packaging & Containers
HITECHGEAR,Auto Parts
HLEGLAS,Specialty Industrial Machinery
HLVLTD,Lodging
HMAAGRO,Packaged Foods
HMT,Farm & Heavy Construction Machinery
HMVL,Publishing
HNDFDS,Packaged Foods
HOMEFIRST,Mortgage Finance
HONASA,Household & Personal Products
HONAUT,Electrical Equipment & Parts
HONDAPOWER,Specialty Industrial Machinery
HOVS,Information Technology Services
HPAL,Specialty Chemicals
HPIL,Specialty Chemicals
HPL,Electrical Equipment & Parts
HSCL,Specialty Chemicals
HTMEDIA,Publishing
HUBTOWN,Real Estate - Development
HUDCO,Credit Services
HUHTAMAKI,Packaging & Containers
HYBRIDFIN,Capital Markets
IBREALEST,Real Estate - Development
IBULHSGFIN,Mortgage Finance
ICDSLTD,Real Estate Services
ICEMAKE,Specialty Industrial Machinery
ICICIBANK,Banks - Regional
ICICIGI,Insurance - Diversified
ICICIPRULI,Insurance - Life
ICIL,Textile Manufacturing
ICRA,Financial Data & Stock Exchanges
IDBI,Banks - Regional
IDEA,Telecom Services
IDEAFORGE,Computer Hardware
IDFC,Asset Management
IDFCFIRSTB,Banks - Regional
IEL,Rental & Leasing Services
IEX,Capital Markets
IFBAGRO,Beverages - Wineries & Distilleries
IFBIND,"Furnishings, Fixtures & Appliances"
IFCI,Credit Services
IFGLEXPOR,Building Materials
IGARASHI,Auto Parts
IGL,Utilities - Regulated Gas
IGPL,Chemicals
IIFL,Credit Services
IIFLSEC,Capital Markets
IITL,Credit Services
IKIO,Electronic Components
IL&FSENGG,Engineering & Construction
IL&FSTRANS,Infrastructure Operations
IMAGICAA,Entertainment
IMFA,Steel
IMPAL,Auto Parts
IMPEXFERRO,Other Industrial Metals & Mining
INCREDIBLE,Steel
INDBANK,Capital Markets
INDHOTEL,Lodging
INDIACEM,Building Materials
INDIAGLYCO,Chemicals
INDIAMART,Internet Content & Information
INDIANB,Banks—Regional
INDIANCARD,Textile Manufacturing
INDIANHUME,Engineering & Construction
INDIASHLTR,Mortgage Finance
INDIGO,Airlines
INDIGOPNTS,Specialty Chemicals
INDNIPPON,Auto Parts
INDOAMIN,Chemicals
INDOBORAX,Chemicals
INDOCO,Drug Manufacturers—Specialty & Generic
INDORAMA,Textile Manufacturing
INDOSTAR,Credit Services
INDOTECH,Electrical Equipment & Parts
INDOTHAI,Capital Markets
INDOWIND,Utilities—Renewable
INDRAMEDCO,Medical Care Facilities
INDSWFTLAB,Drug Manufacturers—Specialty & Generic
INDSWFTLTD,Drug Manufacturers—Specialty & Generic
INDTERRAIN,Apparel Manufacturing
INDUSINDBK,Banks—Regional
INDUSTOWER,Telecom Services
INFIBEAM,Software—Infrastructure
INFOBEAN,Software—Application
INFOMEDIA,Shell Companies
INFY,Information Technology Services
INGERRAND,Specialty Industrial Machinery
INNOVACAP,Drug Manufacturers—Specialty & Generic
INOXGREEN,Utilities—Renewable
INOXINDIA,Specialty Industrial Machinery
INOXWIND,Specialty Industrial Machinery
INSECTICID,Agricultural Inputs
INSPIRISYS,Information Technology Services
INTELLECT,Software—Application
INTENTECH,Software—Infrastructure
INTLCONV,Specialty Industrial Machinery
INVENTURE,Capital Markets
IOB,Banks—Regional
IOC,Oil & Gas Refining & Marketing
IOLCP,Drug Manufacturers—Specialty & Generic
IONEXCHANG,Pollution & Treatment Controls
IPCALAB,Drug Manufacturers—Specialty & Generic
IPL,Agricultural Inputs
IRB,Infrastructure Operations
IRCON,Engineering & Construction
IRCTC,Railroads
IREDA,Credit Services
